Active,نشط,
Address,عنوان,
Amended From,معدل من,
Call,أتصال,
Cancelled,ألغيت,
Company,شركة,
Currency,العملة,
Current,تيار,
Date,تاريخ,
Description,وصف,
Email,البريد الإلكتروني,
Email Address,البريد الالكتروني,
Email Template,قالب البريد الإلكتروني,
Enabled,تمكين,
Expired,انتهى,
From,من,
Image,صورة,
Introduction,مقدمة,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Meeting,لقاء,
Monthly,شهريا,
Naming Series,سلسلة التسمية,
New,جديد,
Note,ملاحظات,
Open,فتح,
Other,آخر,
Pending,معلق,
Phone,هاتف,
Published,نشرت,
Reload,تحديث,
Route,مسار,
SMS,رسالة قصيرة,
Session Defaults,الجلسة الافتراضية,
System Manager,مدير النظام,
To,إلى,
Type,النوع,
User,المستعمل,
Validity,الصلاحية,
View Website,مشاهدة الموقع,
Weekdays,أيام الأسبوع,
Weekly,الأسبوعية,
Yearly,سنويا,
