About,درباره,
Active,فعال,
Address,آدرس,
Amended From,اصلاح شده از,
Apps,برنامه ها,
Call,زنگ زدن,
Cancelled,لغو شده,
Company,شرکت,
Currency,واحد پول,
Current,جاری,
Date,تاریخ,
Description,شرح,
Email,ایمیل,
Email Address,آدرس ایمیل,
Email Template,قالب ایمیل,
Enabled,فعال,
Expired,منقضی شده,
Frappe Support,پشتیبانی Frappe,
From,از,
Image,تصویر,
Introduction,معرفی,
Keyboard Shortcuts,میانبرهای صفحه کلید,
Log out,خروج,
Meeting,ملاقات,
Members,اعضا,
Monthly,ماهانه,
My Profile,نمایه من,
My Settings,تنظیمات من,
Naming Series,سری نامگذاری,
New,جدید,
Note,یادداشت,
Open,باز,
Other,دیگر,
Pending,انتظار,
Phone,تلفن,
Published,منتشر شده,
Reload,بارگذاری مجدد,
Route,مسیر,
SMS,پیامک,
Session Defaults,پیش‌فرض‌های نشست,
System Manager,مدیر سیستم,
To,به,
Toggle Full Width,تغییر وضعیت عرض کامل,
Toggle Theme,تغییر تم,
Type,نوع,
Updates,به روز رسانی ها,
User,کاربر,
Validity,اعتبار,
View Website,مشاهده وب سایت,
Weekdays,روزهای هفته,
Weekly,هفتگی,
Yearly,سالانه,
