About,A Propos,
Active,actif,
Address,Adresse,
Amended From,Modifié Depuis,
Call,Appeler,
Cancelled,Annulé,
Company,Société,
Currency,Devise,
Current,Actuel,
Email Address,Adresse électronique,
Email Template,Modèle d&#39;email,
Enabled,Activé,
Expired,Expiré,
From,À partir de,
Keyboard Shortcuts,Raccourcis clavier,
Meeting,Réunion,
Monthly,Mensuel,
My Profile,Mon profil,
My Settings,Mes paramètres,
Naming Series,Masque de numérotation,
New,Nouveau,
Open,Ouvert,
Other,Autre,
Pending,En Attente,
Phone,Téléphone,
Published,Publié,
Reload,Recharger,
Session Defaults,Session par défaut,
System Manager,Responsable Système,
To,À,
Toggle Full Width,Changer l&#39;affichage en pleine largeur,
Toggle Theme,Basculer le thème,
User,Utilisateur,
Validity,Validité,
View Website,Voir Le Site Web,
Weekdays,Jours de la semaine,
Weekly,Hebdomadaire,
Yearly,Annuel,
